"assessment_date","country","iso3","region","population","growth_rate","relative_incidence","net_increases","epi_classification","growth_rate_lower","growth_rate_upper","tpr_recent","tpr_before","tpr_change","tpr_last_date_recent","tpr_last_date_before","vac_oneplus_dose_per_100","vac_full_per_100","vaccinations_date"
"2022-01-31","Algeria","DZA","AFRO",43851044,0.074,"131.6%",0,"Very High",0.072,0.076,,,,,,16.5,13.2,"2022-01-09"
"2022-01-31","Angola","AGO","AFRO",32866272,-0.07,"12.3%",0,"Minimal",-0.074,-0.067,,,,,,29.6,14.4,"2022-01-28"
"2022-01-31","Benin","BEN","AFRO",12123200,-0.152,"2.5%",0,"Minimal",-0.166,-0.139,"5.4%","10.5%","decreasing","2022-01-23","2022-01-16",16.8,13.4,"2022-01-18"
"2022-01-31","Botswana","BWA","AFRO",2351627,-0.036,"39.1%",0,"Minimal",-0.038,-0.034,,,,,,,,
"2022-01-31","Burkina Faso","BFA","AFRO",20903273,-0.072,"5.5%",0,"Minimal",-0.083,-0.061,,,,,,5.6,3.7,"2022-01-13"
"2022-01-31","Burundi","BDI","AFRO",11890784,-0.091,"7.0%",0,"Minimal",-0.099,-0.083,"2.3%","2.1%","constant","2022-01-30","2022-01-23",0.1,0.1,"2022-01-13"
"2022-01-31","Cabo Verde","CPV","AFRO",555987,-0.173,"5.0%",0,"Minimal",-0.179,-0.168,"7.5%","15.6%","decreasing","2022-01-30","2022-01-23",57.8,48.2,"2022-01-14"
"2022-01-31","Cameroon","CMR","AFRO",26545863,0.097,"29.1%",1,"Medium",0.093,0.101,,,,,,3.2,2.5,"2022-01-09"
"2022-01-31","Central African Republic","CAF","AFRO",4829767,-0.088,"10.2%",1,"Minimal",-0.097,-0.079,,,,,,11,10.5,"2022-01-21"
"2022-01-31","Chad","TCD","AFRO",16425864,-0.138,"31.2%",0,"Minimal",-0.151,-0.125,,,,,,1.6,0.7,"2022-01-16"
"2022-01-31","Comoros","COM","AFRO",869601,-0.113,"1.1%",0,"Minimal",-0.139,-0.088,"16.1%","56.7%","decreasing","2022-01-16","2022-01-09",39.2,29.5,"2022-01-27"
"2022-01-31","Congo","COG","AFRO",5518087,-0.057,"12.3%",0,"Minimal",-0.066,-0.047,"4.7%","10.8%","decreasing","2022-01-30","2022-01-23",11.3,10.6,"2021-12-28"
"2022-01-31","Côte d'Ivoire","CIV","AFRO",26378274,-0.073,"6.0%",0,"Minimal",-0.079,-0.067,"36.7%","26.8%","increasing","2022-01-30","2022-01-23",19.7,9,"2022-01-27"
"2022-01-31","Democratic Republic of the Congo","COD","AFRO",89561403,-0.067,"12.4%",0,"Minimal",-0.072,-0.062,,,,,,0.4,0.2,"2022-01-27"
"2022-01-31","Equatorial Guinea","GNQ","AFRO",1402985,-0.162,"4.5%",0,"Minimal",-0.173,-0.151,,,,,,17.9,14.6,"2022-01-18"
"2022-01-31","Eritrea","ERI","AFRO",3546421,-0.073,"39.0%",0,"Minimal",-0.083,-0.063,,,,,,,,
"2022-01-31","Eswatini","SWZ","AFRO",1160164,-0.068,"3.4%",4,"Low",-0.079,-0.058,,,,,,31.6,28.5,"2022-01-25"
"2022-01-31","Ethiopia","ETH","AFRO",114963588,-0.118,"9.4%",0,"Minimal",-0.121,-0.116,,,,,,8.2,1.4,"2022-01-28"
"2022-01-31","Gabon","GAB","AFRO",2225734,-0.057,"21.6%",0,"Minimal",-0.063,-0.05,"11.0%","7.8%","increasing","2022-01-30","2022-01-23",12.8,10.5,"2022-01-22"
"2022-01-31","Gambia","GMB","AFRO",2416668,-0.094,"28.0%",1,"Minimal",-0.105,-0.083,,,,,,13.2,12.6,"2022-01-21"
"2022-01-31","Ghana","GHA","AFRO",31072940,-0.057,"13.9%",0,"Minimal",-0.062,-0.053,,,,,,22.1,10.1,"2022-01-17"
"2022-01-31","Guinea","GIN","AFRO",13132795,-0.097,"7.4%",0,"Minimal",-0.106,-0.087,"13.8%","20.0%","decreasing","2022-01-30","2022-01-23",26.3,14.2,"2022-01-24"
"2022-01-31","Guinea-Bissau","GNB","AFRO",1968001,-0.021,"55.5%",2,"Minimal",-0.032,-0.01,"19.0%","16.7%","constant","2022-01-30","2022-01-23",20.1,,"2022-01-28"
"2022-01-31","Kenya","KEN","AFRO",53771296,-0.168,"5.7%",0,"Minimal",-0.172,-0.164,,,,,,12.1,10.1,"2022-01-30"
"2022-01-31","Lesotho","LSO","AFRO",2142249,-0.095,"1.8%",0,"Minimal",-0.106,-0.084,"4.8%","6.7%","decreasing","2022-01-30","2022-01-23",,,
